SR_No,Survey Registered Date,Survey ID,Mode of Survey,Survey Location,Survey Type,Survey Subtype,LR No,LR Date,Vehicle Number,Other Vehicle Numbers,Vehicle Gross Weight (Kg),Vehicle Tare Weight (Kg),UOM,Cargo Length,Cargo Breadth,Cargo Height,Cargo Weight (Kg),Gross Weight (KG),Unit of Qty,Product Qty,Unit Rate,Tax Rate,Gross Total,Invoice Date,Invoice Value,Sum Assured,Consignor GSTIN,Consignor Name,Consignor City,Consignor State,Consignee GSTIN,Consignee Name,Consignee City,Consignee State,Insurer GSTIN,Insurer Name,Insurer City,Insurer State,Carrier GSTIN,Carrier Name,Carrier City,Carrier State,Shipped From,Shipped To,Weather at Loading Port,Weather at Destination Port,External Packaging Detail,Internal Packaging Detail,Other Packaging Detail,Marks and Numbers (Container/Conveyance),Marks and Numbers (Cargo),Package Observation (Container/Conveyance),Package Observation (Cargo),Lashing (Cargo),Dunnage and Chocking (Cargo),Damages and Other Observation (Container),Damages and Other Observation (Cargo),Invoice and Packing List,Copy of L/R or Delivery Challan,Copy of E-way Bill,Copy of Vehicle Registration Certificate,Copy of Vehicle Fitness Certificate,Date of Factory Stuffing,Date of Cargo expected to leave,Date of L/R (anticipated),Survey Completed Date,Status,Survey Done By,source,Exposure_Value,Delay_Days,Route,Delay_LR_minus_Stuffing,Delay_Stuffing_minus_LR,Delay_Abs_Days,HSN2,from_lat,from_lon,to_lat,to_lon,distance_km,is_intracity,distance_usable,invoice_value,gross_total,sum_assured,exposure_value,eWayBill,eWayBill_12,eWayBillDate,ewaybill_is_valid_12,ewaybill_digits,origin_city,destination_city,route,origin_lat,origin_lon,dest_lat,dest_lon,dispatch_date,arrival_date,delay_days,consignor,consignee,carrier,client_tag,source_file,pipeline_version,run_date,Driver License No,Driver DOB,Driver Mobile No,HSN Code,Product Model No,Product Description,Consignor Address,Consignor Pincode,Consignee Address,Consignee Pincode,Insurer Address,Insurer Pincode,Carrier Address,Carrier PIN,use_for_distance_analytics,near_zero_distance,must_have_nonnull,must_have_fill_rate,is_suspect_test_row,invoice_value_raw,gross_total_raw,sum_assured_raw,dispatch_dt,arrival_dt,delay_abs_days
35,2025-09-26,V2CSSRY100992,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH46CL2825,,"39,500","12,150",FT,9.13,10.1,9.13,"11,500","11,500",Numbers,1,"75,06,908",18.0,,2025-09-26,,,24AAACV2809D1ZS,,vadodara,Gujarat,37AADCR1851J1Z9,,Visakhapatnam,Andhra Pradesh,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH46CL2825,       Flatbed trailer",UNIT SERIAL NUMBER W250000209,"Vehicle Number: MH46CL2825,       Flatbed trailer",,4 BELT USE ,16 WELDING ON BASE FRAME ,Flatbed trailer, ,Yes,Yes,Yes,Yes,Yes,2025-09-26,2025-09-26,2025-09-26,2025-09-26 11:11:12 PM,Approved,Prashant,,,,,,,,,,,,,1069.0513882771054,False,,8858151.0,8858151.0,9743966.0,9743966.0,681978267501.0,,2025-09-25,False,6819782675010,Vadodara,East Godavari,,22.2973142,73.1942567,16.9956639,81.7154378,,,,VOLTAS LIMITED,RENAATUS PROJECTS PRIVATE LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH1620220000516,2025-09-26 17:42:02,9328762266.0,84186100.0,Product Model No, ACEGWFVXR4502MH7DU-WC-VFD SCREW CHILLER ,siddhi industrial prak near gb waghodia     ,391760.0,PARAVATHINAGAR    38 32 50 1  VISAKHAPATNAM,530018.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"88,58,151","88,58,151","97,43,966",,,
36,2025-09-26,V2CSSRY100993,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH46CL2825,,"39,500","12,150",FT,9.13,10.1,9.13,"11,500","11,500",Numbers,1,"75,06,908",18.0,,2025-09-26,,,24AAACV2809D1ZS,,vadodara ,Gujarat,37AADCR1851J1Z9,,Visakhapatnam,Andhra Pradesh,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH46CL2825,     Flatbed trailer",UNIT SERIAL NUMBER W250000309,"Vehicle Number: MH46CL2825,    Flatbed trailer",,4 BELT USE ,16 WELDING ON BASE FRAME ,Flatbed trailer, ,Yes,Yes,Yes,Yes,Yes,2025-09-26,2025-09-26,2025-09-26,2025-09-26 11:21:37 PM,Approved,Prashant,,,,,,,,,,,,,1069.0513882771054,False,,8858151.0,8858151.0,9743966.0,9743966.0,651978267151.0,,2025-09-25,False,6519782671510,Vadodara,East Godavari,,22.2973142,73.1942567,16.9956639,81.7154378,,,,VOLTAS LIMITED,RENAATUS PROJECTS PRIVATE LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH1620220000516,2025-09-26 17:52:15,9328762266.0,84186100.0,Product Model No, ACEGWFVXR4502MH7DU-WC-VFD SCREW CHILLER , siddhi industrial park near  gb waghodiya ,391760.0,PARAVATHINAGAR    38 32 50 1  VISAKHAPATNAM,530018.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"88,58,151","88,58,151","97,43,966",,,
37,2025-09-27,V2CSSRY100994,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,HR38AA1496,HR38AA1496,"18,500","5,870",FT,9.6,7.4,9.6,"8,500","8,500",Numbers,1,"47,00,000",18.0,,2025-09-27,,,24AAACV2809D1ZS,,vadodara,Gujarat,08AAACM8884D1Z8,,Alwar,Rajasthan,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,vadodara,Maharashtra,27AAACA4457G1ZT,,Mumbai,Maharashtra,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: HR38AA1496,  Other Vehicle Numbers: HR38AA1496,    Flatbed trailer / truck",  Unit Serial No. W2500000509,"Vehicle Number: HR38AA1496,  Other Vehicle Numbers: HR38AA1496,    Flatbed trailer",Unit packed with shrink wrapping and tarpaulin over the units,4 BELTS LASHED AT EQUAL PLACES,08 WELDING - DONE WITH BASE FRAME,No,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-09-27,2025-09-27,2025-09-27,2025-09-27 04:13:39 PM,Approved,Prashant,,,,,,,,,,,,,665.4533124818144,False,,5546000.0,5546000.0,6100600.0,6100600.0,601978496552.0,,2025-09-26,False,6019784965520,Vadodara,Alwar,,22.2973142,73.1942567,27.4140049,76.6170387,,,,VOLTAS LIMITED,MORIROKU TECHNOLOGY INDIA PRIVATE LIMITED,ADHUNIK TRANSPORT ORGANISATION LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,RJ0920200004132,2000-01-09 18:30:00,7734846247.0,84186100.0,Product Model No,ACEGAAFVXR2501MH-AC VFD SCREW CHIILER,"Voltas limited , siddhi industrial infrastructure park near GEB waghodia vadodaa 391760",391760.0,KEHRANI INDUSTRIAL AREA    A-41  BHIWADI,301019.0,"Plot No.1, Siddhi Industrial Infrastructure Park Near GEB Substation, Opp. Persang Alloys Village Waghodia",400023.0,OFF WESTERN EXPRESS HIGHWAY  16TH FLOOR  D-1602  GOREGAON EAST,400063.0,True,False,11,1.0,False,"55,46,000","55,46,000","61,00,600",,,
38,2025-09-27,V2CSSRY100995,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,RJ14GT1580,,"18,500","5,005",FT,9.6,7.4,9.6,"8,500","18,500",Numbers,1,"47,00,000",18.0,,2025-09-27,,,24AAACV2809D1ZS,,vadodara,Gujarat,08AAACM8884D1Z8,,Alwar,Rajasthan,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,27AAACA4457G1ZT,,Mumbai,Maharashtra,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: RJ14GT1580,  Other Vehicle Numbers: ,    Flatbed trailer",SERIAL NO - W250000609,"Vehicle Number: RJ14GT1580,  Other Vehicle Numbers: ,    Flatbed trailer",,02 BELATS LASHING,08 WELDING,NO,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-09-27,2025-09-27,2025-09-27,2025-09-27 05:02:28 PM,Approved,Prashant,,,,,,,,,,,,,665.4533124818144,False,,5546000.0,5546000.0,6100600.0,6100600.0,651978494890.0,,2025-09-26,False,6519784948900,Vadodara,Alwar,,22.2973142,73.1942567,27.4140049,76.6170387,,,,VOLTAS LIMITED,MORIROKU TECHNOLOGY INDIA PRIVATE LIMITED,ADHUNIK TRANSPORT ORGANISATION LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,RJ05 20160004617,1996-07-04 18:30:00,8306314747.0,84186100.0,Product Model No,ACEGAFVXR2501MH-AC VFD SCREW CHILLER,"Voltas limited, plot no 1 siddhi industrial near GEB, waghodia , vadodara",391760.0,KEHRANI INDUSTRIAL AREA    A-41  BHIWADI,301019.0,Bank Street    34/38  Fort,400023.0,OFF WESTERN EXPRESS HIGHWAY  16TH FLOOR  D-1602  GOREGAON EAST,400063.0,True,False,11,1.0,False,"55,46,000","55,46,000","61,00,600",,,
39,2025-09-27,V2CSSRY100996,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH11DC9972,,"18,500","6,000",FT,9.13,10.1,9.13,"5,700","5,700",Numbers,1,"75,06,908",18.0,,2025-09-27,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,37AADCR1851J1Z9,,Visakhapatnam,Andhra Pradesh,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH11DC9972,     ",UNIT SERIAL NUMBER W250000108,"Vehicle Number: MH11DC9972,     ",,2 LASHING IRON CHAIN ,16 WELDING ON BASE FRAME , , ,Yes,Yes,Yes,Yes,Yes,2025-09-27,2025-09-27,2025-09-27,2025-09-27 08:58:23 PM,Approved,Prashant,,,,,,,,,,,,,1069.0513882771054,False,,8858151.0,8858151.0,9743966.0,9743966.0,681978946080.0,,2025-09-26,False,6819789460800,Vadodara,East Godavari,,22.2973142,73.1942567,16.9956639,81.7154378,,,,VOLTAS LIMITED,RENAATUS PROJECTS PRIVATE LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH1120160005727,2025-09-27 15:29:59,7984680018.0,84186100.0,Product Model No, ACEGWFVXR4502MH7DU-WC-VFD-SCREW CHILLER, SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA,391760.0,PARAVATHINAGAR    38 32 50 1  VISAKHAPATNAM,530018.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"88,58,151","88,58,151","97,43,966",,,
40,2025-09-27,V2CSSRY100997,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,GJ01DY9754,,"35,200","16,710",FT,8.6,9.0,8.6,"16,999","16,999",Numbers,2,"67,50,000",18.0,,2025-09-27,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,24AAACS0206P1ZJ,,Bharuch,Gujarat,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,27AAACS5779B1ZA,,Mumbai,Maharashtra,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: GJ01DY9754,    Flatbed trailer",UNIT SERIAL NUMBER W250000209/W250000309,"Vehicle Number: GJ01DY9754,    Flatbed trailer",, 1 MACHINE USE ON 4 BELT AND SEC MACHINE USE 4 BELT TOTAL USE BELT 8 BELT ON LASHING , ONE MACHINE WELDING ON 16 NOS AND SEC MACHINE ON 16 NOS WELDING TOTAL 32 WELDING ON BASE FRAME ,Flatbed trailer, ,Yes,Yes,Yes,Yes,Yes,2025-09-27,2025-09-27,2025-09-27,2025-09-27 10:58:14 PM,Approved,Prashant,,,,,,,,,,,,,68.64732404085208,False,,15930000.0,15930000.0,17523000.0,17523000.0,661978906455.0,,2025-09-26,False,6619789064550,Vadodara,Bharuch,,22.2973142,73.1942567,21.7080427,72.9956936,,,,VOLTAS LIMITED,SRF LIMITED,SURAT GOODS TRANSPORT PVT LTD,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,BR2520130016164,2025-09-27 17:28:56,7984680018.0,84186100.0,Product Model No, ACEGWFVXR5201MHPFC-WC-VFD SCREW CHILLER, SIDDHI INDUTRIAL PARK NEAR GB WAGHODIA     ,391760.0,"PCPIR  GIDC  PLOT NO. D-2/1  Dahej, Ta Vagra",392130.0,Bank Street    34/38  Fort,400023.0,47 P D MELLO ROAD    3RD FLOOR  MASJID EAST,400009.0,True,False,11,1.0,False,"1,59,30,000","1,59,30,000","1,75,23,000",,,
41,2025-09-28,V2CSSRY100999,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,GJ06AZ7221,,"18,500","7,800",FT,9.6,7.4,9.6,"4,499","4,499",Numbers,1,"30,50,000",18.0,,2025-09-28,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,19AABCW0178R1ZM,,North 24 Parganas,West Bengal,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AAACI5607C1Z5,,Ahmedabad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: GJ06AZ7221,   ",UNIT SERIAL NUMBER W250000108,"Vehicle Number: GJ06AZ7221,   ",,2 BELT USE ,12 WELDING ON BASE FRAME , , ,Yes,Yes,Yes,Yes,Yes,2025-09-28,2025-09-28,2025-09-28,2025-09-28 09:36:25 PM,Approved,Prashant,,,,,,,,,,,,,1643.4172262817597,False,,3599000.0,3599000.0,3958900.0,3958900.0,641978965702.0,,2025-09-26,False,6419789657020,Vadodara,Jalpaiguri,,22.2973142,73.1942567,26.6262805,88.7334485,,,,VOLTAS LIMITED,WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED,INLAND WORLD LOGISTICS PRIVATE LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,CG0419980006215,2025-09-28 16:07:25,9979621990.0,84186100.0,Product Model No, ACEGAFXR1002MLT2-AC-SCREW CHILLER , SIDDHI INDUISTRIAL PARK NEAR GB WAGHODIA ,391760.0,Sector-V  1st Floor  GN-29  Saltlake City,700091.0,Bank Street    34/38  Fort,400023.0,"Ved Mandir Road, Kankaria    7A  Ahmedabad",380022.0,True,False,11,1.0,False,"35,99,000","35,99,000","39,58,900",,,
42,2025-09-28,V2CSSRY101000,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,RJ32GD2091,,"18,500","6,200",FT,9.6,7.4,9.6,"4,502","4,502",Numbers,1,"30,50,000",18.0,,2025-09-28,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,19AABCW0178R1ZM,,North 24 Parganas,West Bengal,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AAACI5607C1Z5,,Ahmedabad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: RJ32GD2091,   ,   ",UNIT SERIAL NUMBER W250000208,"Vehicle Number: RJ32GD2091,   ",,2 BELT USE ,12 WELDING USE ON BASE FRAME , ,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-09-28,2025-09-28,2025-09-28,2025-09-28 09:47:03 PM,Approved,Prashant,,,,,,,,,,,,,1643.4172262817597,False,,3599000.0,3599000.0,3958900.0,3958900.0,631979298930.0,,2025-09-27,False,6319792989300,Vadodara,Jalpaiguri,,22.2973142,73.1942567,26.6262805,88.7334485,,,,VOLTAS LIMITED,WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED,INLAND WORLD LOGISTICS PRIVATE LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,RJ2320110009287,2025-09-28 16:18:31,9413856089.0,84186100.0,Product Model No, ACEGAFVXR1002MLT2-AC SCREW CHILLER , SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA ,391760.0,Sector-V  1st Floor  GN-29  Saltlake City,700091.0,Bank Street    34/38  Fort,400023.0,"Ved Mandir Road, Kankaria    7A  Ahmedabad",380022.0,True,False,11,1.0,False,"35,99,000","35,99,000","39,58,900",,,
43,2025-09-29,V2CSSRY101004,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,GJ06AV9148,,"35,200","16,500",FT,8.6,9.0,8.6,"8,998","8,998",Numbers,1,"67,50,000",18.0,,2025-09-29,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,24AAACS0206P1ZJ,,Bharuch,Gujarat,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,27AAACS5779B1ZA,,Mumbai,Maharashtra,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: GJ06AV9148,     ",UNIT SERIAL NUMBER W250000409,"Vehicle Number: GJ06AV9148,     ",,2 BELT USE  ,16 WELDING ON BASE FRAME ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-09-29,2025-09-29,2025-09-29,2025-09-29 11:31:52 PM,Approved,Prashant,,,,,,,,,,,,,68.64732404085208,False,,7965000.0,7965000.0,8761500.0,8761500.0,621980011464.0,,2025-09-28,False,6219800114640,Vadodara,Bharuch,,22.2973142,73.1942567,21.7080427,72.9956936,,,,VOLTAS LIMITED,SRF LIMITED,SURAT GOODS TRANSPORT PVT LTD,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,UP6220170014714,2025-09-29 18:02:55,8401516933.0,84186100.0,Product Model No, ACEGWFVXR5201M HPFC-WC VFD SCREW CHILLER, SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA   ,391760.0,"PCPIR  GIDC  PLOT NO. D-2/1  Dahej, Ta Vagra",392130.0,Bank Street    34/38  Fort,400023.0,47 P D MELLO ROAD    3RD FLOOR  MASJID EAST,400009.0,True,False,11,1.0,False,"79,65,000","79,65,000","87,61,500",,,
44,2025-10-01,V2CSSRY101006,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH16DP5788,,"39,500","12,870",FT,9.8,7.4,9.8,"11,000","11,000",Numbers,1,"82,75,000",18.0,,2025-10-01,,,24AAACV2809D1ZS,,VADODARA,Gujarat,29AAACB4881D1ZQ,,Bangalore,Karnataka,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,27AACCP8468Q1ZG,,Mumbai,Maharashtra,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH16DP5788,     Flatbed trailer",UNIT SERIAL NUMBER W250000308,"Vehicle Number: MH16DP5788,  Flatbed trailer",,5 BELT USE ,16 WELDING ON BASE FRAME ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-10-01,2025-10-01,2025-10-01,2025-10-01 06:10:25 PM,Approved,Prashant,,,,,,,,,,,,,1135.9867559418983,False,,9764500.0,9764500.0,10740950.0,10740950.0,661980740458.0,,2025-09-29,False,6619807404580,Vadodara,Bangalore,,22.2973142,73.1942567,12.9767936,77.590082,,,,VOLTAS LIMITED,BANGALORE METRO RAIL CORPORATION LIMITED,PREMIER ROAD CARRIERS LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH0120060002902,2025-10-01 12:41:08,7278221212.0,84186100.0,Product Model No,ACEGAFVXR300T2MHBM-AC VFD SCREW CHILLER ,SIDDHI INDUSTYRIAL PARK NEAR GB WAGHODIA ,391760.0,K H Road  3rd Floor  BMTC Complex  Shanthinagar,560027.0,Bank Street    34/38  Fort,400023.0,Free Press Journal Marg  9  901B  Mumbai,400021.0,True,False,11,1.0,False,"97,64,500","97,64,500","1,07,40,950",,,
45,2025-10-01,V2CSSRY101011,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH04JK4205,,"39,500","11,800",FT,9.8,7.4,9.8,"10,998","10,998",Numbers,1,"82,75,000",18.0,,2025-10-01,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,29AAACB4881D1ZQ,,Bangalore,Karnataka,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,27AACCP8468Q1ZG,,Mumbai,Maharashtra,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH04JK4205,    Flatbed trailer",UNIT SERIAL NUMBER W250000108,"Vehicle Number: MH04JK4205,    Flatbed trailer",,6 BELT USE ,16 WELDING ON USE BASE FRAME ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-10-01,2025-10-01,2025-10-01,2025-10-01 06:41:37 PM,Approved,Prashant,,,,,,,,,,,,,1135.9867559418983,False,,9764500.0,9764500.0,10740950.0,10740950.0,631980736953.0,,2025-09-29,False,6319807369530,Vadodara,Bangalore,,22.2973142,73.1942567,12.9767936,77.590082,,,,VOLTAS LIMITED,BANGALORE METRO RAIL CORPORATION LIMITED,PREMIER ROAD CARRIERS LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH2320090010897,2025-10-01 13:18:35,9689876755.0,84186100.0,Product Model No, ACEGAFVXR300T2MHBM-AC VFD SCREW CHILLER ,SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA   ,391760.0,K H Road  3rd Floor  BMTC Complex  Shanthinagar,560027.0,Bank Street    34/38  Fort,400023.0,Free Press Journal Marg  9  901B  Mumbai,400021.0,True,False,11,1.0,False,"97,64,500","97,64,500","1,07,40,950",,,
46,2025-10-01,V2CSSRY101015,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,MH16DP4788,,"39,500","12,745",FT,9.8,7.4,9.8,"11,000","11,000",Numbers,1,"82,75,000",18.0,,2025-10-01,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,29AAACB4881D1ZQ,,Bangalore,Karnataka,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,27AACCP8468Q1ZG,,Mumbai,Maharashtra,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: MH16DP4788,    Flatbed trailer",UNIT SERIAL NUMBER W250000208,"Vehicle Number: MH16DP4788,    Flatbed trailer",,8 BELT USE ,17 WELDING ON BASE FRAME ,Flatbed trailer,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-10-01,2025-10-01,2025-10-01,2025-10-01 07:16:06 PM,Approved,Prashant,,,,,,,,,,,,,1135.9867559418983,False,,9764500.0,9764500.0,10740950.0,10740950.0,651980738504.0,,2025-09-29,False,6519807385040,Vadodara,Bangalore,,22.2973142,73.1942567,12.9767936,77.590082,,,,VOLTAS LIMITED,BANGALORE METRO RAIL CORPORATION LIMITED,PREMIER ROAD CARRIERS LIMITED,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH2320180013227,2025-10-01 13:46:39,8975727487.0,84186100.0,Product Model No, ACEGAFVXR300T2MHBM- AC VFD SCREW CHILLER , SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA     ,391760.0,K H Road  3rd Floor  BMTC Complex  Shanthinagar,560027.0,Bank Street    34/38  Fort,400023.0,Free Press Journal Marg  9  901B  Mumbai,400021.0,True,False,11,1.0,False,"97,64,500","97,64,500","1,07,40,950",,,
47,2025-10-01,V2CSSRY101016,Physical,"VADODARA, GUJARAT",Cargo Condition Inspection,Pre Dispatch,,,DN09S9944,,"18,200","8,010",FT,9.6,7.4,9.6,"8,000","8,000",Numbers,1,"67,02,150",18.0,,2025-10-01,,,24AAACV2809D1ZS,,VADODARA ,Gujarat,29AAACB4881D1ZQ,,Bangalore,Karnataka,27AAACN4165C3ZP,THE NEW INDIA ASSURANCE CO LIMITED,,Maharashtra,24AJTPG5264G1Z1,,Valsad,Gujarat,,,Normal,Normal,Loose/Unpacked,,,"Vehicle Number: DN09S9944,   ",UNIT SERIAL NUMBER W250000808,"Vehicle Number: DN09S9944,     ",,2 BELT USE ,14 WELDING ON BASE FRAME , ,Please make sure that  RED FLAG / REFLECTOR TAPE is placed on the cargo,Yes,Yes,Yes,Yes,Yes,2025-10-01,2025-10-01,2025-10-01,2025-10-01 10:24:54 PM,Approved,Prashant,,,,,,,,,,,,,1135.9867559418983,False,,7908537.0,7908537.0,8699391.0,8699391.0,621981388680.0,,2025-09-30,False,6219813886800,Vadodara,Bangalore,,22.2973142,73.1942567,12.9767936,77.590082,,,,VOLTAS LIMITED,BANGALORE METRO RAIL CORPORATION LIMITED,SHYAMSUNDER BHIMSAIN GOYAL,Voltas,voltas_as_on_20_03_2026.csv,ap_v1.1.0_reset,2026-03-20 18:23:04,MH0120151039012,2025-10-01 16:55:41,9328762266.0,84186100.0,Product Model No, ACEGAFVXR2102MHBM-AC VFD SCREW CHILLER ,SIDDHI INDUSTRIAL PARK NEAR GB WAGHODIA   ,391760.0,K H Road  3rd Floor  BMTC Complex  Shanthinagar,560027.0,Bank Street    34/38  Fort,400023.0,Chanod Colony Road  1 st Floor  Flat No B-1  Vapi,396195.0,True,False,11,1.0,False,"79,08,537","79,08,537","86,99,391",,,
